dataset,polluter,level,model,accuracy,f1_macro,auc_roc,score,grade,completeness,uniqueness,validity,consistency,outlier_ratio,class_balance,feature_correlation,label_consistency,feature_informativeness
SouthGermanCredit,completeness,0.95,XGBoost,0.71,0.5289,0.6867,38.46,D,0.05,0.4125,1.0,1.0,0.68,0.6,1.0,0.0,0.1876
SouthGermanCredit,consistent_repr,0.1,LogisticRegression,0.74,0.674,0.7799,71.16,C,1.0,1.0,1.0,0.9,0.9408,0.6,1.0,0.0869,0.4717
SouthGermanCredit,consistent_repr,0.1,MLP,0.78,0.7272,0.7649,71.16,C,1.0,1.0,1.0,0.9,0.9408,0.6,1.0,0.0869,0.4717
SouthGermanCredit,consistent_repr,0.1,RandomForest,0.755,0.6459,0.7919,71.16,C,1.0,1.0,1.0,0.9,0.9408,0.6,1.0,0.0869,0.4717
SouthGermanCredit,consistent_repr,0.1,SVC,0.7,0.6633,0.7736,71.16,C,1.0,1.0,1.0,0.9,0.9408,0.6,1.0,0.0869,0.4717
SouthGermanCredit,consistent_repr,0.1,XGBoost,0.785,0.7289,0.7825,71.16,C,1.0,1.0,1.0,0.9,0.9408,0.6,1.0,0.0869,0.4717
SouthGermanCredit,consistent_repr,0.25,LogisticRegression,0.735,0.686,0.7955,69.45,C,1.0,1.0,1.0,0.75,0.9408,0.6,1.0,0.0869,0.4504
SouthGermanCredit,consistent_repr,0.25,MLP,0.76,0.7169,0.7798,69.45,C,1.0,1.0,1.0,0.75,0.9408,0.6,1.0,0.0869,0.4504
SouthGermanCredit,consistent_repr,0.25,RandomForest,0.795,0.721,0.8053,69.45,C,1.0,1.0,1.0,0.75,0.9408,0.6,1.0,0.0869,0.4504
SouthGermanCredit,consistent_repr,0.25,SVC,0.69,0.6742,0.7878,69.45,C,1.0,1.0,1.0,0.75,0.9408,0.6,1.0,0.0869,0.4504
SouthGermanCredit,consistent_repr,0.25,XGBoost,0.78,0.721,0.811,69.45,C,1.0,1.0,1.0,0.75,0.9408,0.6,1.0,0.0869,0.4504
SouthGermanCredit,consistent_repr,0.5,LogisticRegression,0.72,0.6667,0.7529,67.21,C,1.0,1.0,1.0,0.5,0.9408,0.6,1.0,0.0869,0.4767
SouthGermanCredit,consistent_repr,0.5,MLP,0.69,0.657,0.7267,67.21,C,1.0,1.0,1.0,0.5,0.9408,0.6,1.0,0.0869,0.4767
SouthGermanCredit,consistent_repr,0.5,RandomForest,0.735,0.617,0.7687,67.21,C,1.0,1.0,1.0,0.5,0.9408,0.6,1.0,0.0869,0.4767
SouthGermanCredit,consistent_repr,0.5,SVC,0.68,0.6506,0.7427,67.21,C,1.0,1.0,1.0,0.5,0.9408,0.6,1.0,0.0869,0.4767
SouthGermanCredit,consistent_repr,0.5,XGBoost,0.685,0.6572,0.7414,67.21,C,1.0,1.0,1.0,0.5,0.9408,0.6,1.0,0.0869,0.4767
SouthGermanCredit,consistent_repr,0.75,LogisticRegression,0.72,0.6667,0.7501,64.7,C,1.0,1.0,1.0,0.25,0.9408,0.6,1.0,0.0869,0.4755
SouthGermanCredit,consistent_repr,0.75,MLP,0.71,0.6278,0.729,64.7,C,1.0,1.0,1.0,0.25,0.9408,0.6,1.0,0.0869,0.4755
SouthGermanCredit,consistent_repr,0.75,RandomForest,0.725,0.5291,0.7051,64.7,C,1.0,1.0,1.0,0.25,0.9408,0.6,1.0,0.0869,0.4755
SouthGermanCredit,consistent_repr,0.75,SVC,0.655,0.6366,0.7327,64.7,C,1.0,1.0,1.0,0.25,0.9408,0.6,1.0,0.0869,0.4755
SouthGermanCredit,consistent_repr,0.75,XGBoost,0.675,0.5803,0.6735,64.7,C,1.0,1.0,1.0,0.25,0.9408,0.6,1.0,0.0869,0.4755
SouthGermanCredit,consistent_repr,0.9,LogisticRegression,0.675,0.4874,0.6636,62.98,C,1.0,1.0,1.0,0.1,0.9408,0.6,1.0,0.0869,0.4533
SouthGermanCredit,consistent_repr,0.9,MLP,0.71,0.4738,0.6733,62.98,C,1.0,1.0,1.0,0.1,0.9408,0.6,1.0,0.0869,0.4533
SouthGermanCredit,consistent_repr,0.9,RandomForest,0.695,0.552,0.6861,62.98,C,1.0,1.0,1.0,0.1,0.9408,0.6,1.0,0.0869,0.4533
SouthGermanCredit,consistent_repr,0.9,SVC,0.65,0.5452,0.6273,62.98,C,1.0,1.0,1.0,0.1,0.9408,0.6,1.0,0.0869,0.4533
SouthGermanCredit,consistent_repr,0.9,XGBoost,0.71,0.5775,0.6781,62.98,C,1.0,1.0,1.0,0.1,0.9408,0.6,1.0,0.0869,0.4533
SouthGermanCredit,consistent_repr,0.95,LogisticRegression,0.725,0.5291,0.6683,62.68,C,1.0,1.0,1.0,0.05,0.9408,0.6,1.0,0.0869,0.4735
SouthGermanCredit,consistent_repr,0.95,MLP,0.71,0.4862,0.7168,62.68,C,1.0,1.0,1.0,0.05,0.9408,0.6,1.0,0.0869,0.4735
SouthGermanCredit,consistent_repr,0.95,RandomForest,0.66,0.6094,0.6555,62.68,C,1.0,1.0,1.0,0.05,0.9408,0.6,1.0,0.0869,0.4735
SouthGermanCredit,consistent_repr,0.95,SVC,0.695,0.5095,0.646,62.68,C,1.0,1.0,1.0,0.05,0.9408,0.6,1.0,0.0869,0.4735
SouthGermanCredit,consistent_repr,0.95,XGBoost,0.635,0.619,0.7012,62.68,C,1.0,1.0,1.0,0.05,0.9408,0.6,1.0,0.0869,0.4735
SouthGermanCredit,feature_accuracy,0.1,LogisticRegression,0.765,0.6802,0.7985,70.09,C,1.0,1.0,1.0,1.0,0.9375,0.6,1.0,0.0661,0.3083
SouthGermanCredit,feature_accuracy,0.1,MLP,0.76,0.7086,0.7554,70.09,C,1.0,1.0,1.0,1.0,0.9375,0.6,1.0,0.0661,0.3083
SouthGermanCredit,feature_accuracy,0.1,RandomForest,0.755,0.6135,0.7969,70.09,C,1.0,1.0,1.0,1.0,0.9375,0.6,1.0,0.0661,0.3083
SouthGermanCredit,feature_accuracy,0.1,SVC,0.715,0.6813,0.7923,70.09,C,1.0,1.0,1.0,1.0,0.9375,0.6,1.0,0.0661,0.3083
SouthGermanCredit,feature_accuracy,0.1,XGBoost,0.765,0.6887,0.7565,70.09,C,1.0,1.0,1.0,1.0,0.9375,0.6,1.0,0.0661,0.3083
SouthGermanCredit,feature_accuracy,0.25,LogisticRegression,0.73,0.6245,0.7852,69.0,C,1.0,1.0,1.0,1.0,0.93,0.6,1.0,0.0274,0.2799
SouthGermanCredit,feature_accuracy,0.25,MLP,0.705,0.6236,0.7174,69.0,C,1.0,1.0,1.0,1.0,0.93,0.6,1.0,0.0274,0.2799
SouthGermanCredit,feature_accuracy,0.25,RandomForest,0.72,0.5357,0.7607,69.0,C,1.0,1.0,1.0,1.0,0.93,0.6,1.0,0.0274,0.2799
SouthGermanCredit,feature_accuracy,0.25,SVC,0.705,0.6702,0.772,69.0,C,1.0,1.0,1.0,1.0,0.93,0.6,1.0,0.0274,0.2799
SouthGermanCredit,feature_accuracy,0.25,XGBoost,0.735,0.6287,0.7542,69.0,C,1.0,1.0,1.0,1.0,0.93,0.6,1.0,0.0274,0.2799
SouthGermanCredit,feature_accuracy,0.5,LogisticRegression,0.75,0.5939,0.7698,67.44,C,1.0,1.0,1.0,1.0,0.8633,0.6,1.0,0.0548,0.1025
SouthGermanCredit,feature_accuracy,0.5,MLP,0.695,0.5444,0.6952,67.44,C,1.0,1.0,1.0,1.0,0.8633,0.6,1.0,0.0548,0.1025
SouthGermanCredit,feature_accuracy,0.5,RandomForest,0.695,0.41,0.7158,67.44,C,1.0,1.0,1.0,1.0,0.8633,0.6,1.0,0.0548,0.1025
SouthGermanCredit,feature_accuracy,0.5,SVC,0.75,0.6933,0.7639,67.44,C,1.0,1.0,1.0,1.0,0.8633,0.6,1.0,0.0548,0.1025
SouthGermanCredit,feature_accuracy,0.5,XGBoost,0.695,0.552,0.7263,67.44,C,1.0,1.0,1.0,1.0,0.8633,0.6,1.0,0.0548,0.1025
SouthGermanCredit,feature_accuracy,0.75,LogisticRegression,0.685,0.4353,0.5762,65.98,C,1.0,1.0,1.0,1.0,0.7671,0.6,1.0,0.0173,0.08
SouthGermanCredit,feature_accuracy,0.75,MLP,0.64,0.4478,0.4586,65.98,C,1.0,1.0,1.0,1.0,0.7671,0.6,1.0,0.0173,0.08
SouthGermanCredit,feature_accuracy,0.75,RandomForest,0.685,0.4065,0.568,65.98,C,1.0,1.0,1.0,1.0,0.7671,0.6,1.0,0.0173,0.08
SouthGermanCredit,feature_accuracy,0.75,SVC,0.57,0.546,0.5874,65.98,C,1.0,1.0,1.0,1.0,0.7671,0.6,1.0,0.0173,0.08
SouthGermanCredit,feature_accuracy,0.75,XGBoost,0.65,0.4072,0.5092,65.98,C,1.0,1.0,1.0,1.0,0.7671,0.6,1.0,0.0173,0.08
SouthGermanCredit,feature_accuracy,0.9,LogisticRegression,0.495,0.4222,0.4126,66.12,C,1.0,1.0,1.0,1.0,0.7188,0.6,1.0,0.0185,0.1158
SouthGermanCredit,feature_accuracy,0.9,MLP,0.43,0.4087,0.4033,66.12,C,1.0,1.0,1.0,1.0,0.7188,0.6,1.0,0.0185,0.1158
SouthGermanCredit,feature_accuracy,0.9,RandomForest,0.675,0.4435,0.452,66.12,C,1.0,1.0,1.0,1.0,0.7188,0.6,1.0,0.0185,0.1158
SouthGermanCredit,feature_accuracy,0.9,SVC,0.33,0.3218,0.3944,66.12,C,1.0,1.0,1.0,1.0,0.7188,0.6,1.0,0.0185,0.1158
