dataset,polluter,level,method,model,score,task
yelp_full,completeness_text,0.9,probe,random_forest,0.0157,regression
yelp_full,completeness_text,0.9,probe,mlp,0.0,regression
yelp_full,completeness_text,0.9,probe,knn,0.0,regression
yelp_full,noise_injection_text,0.1,probe,ridge,0.0,regression
yelp_full,noise_injection_text,0.1,probe,random_forest,0.256,regression
yelp_full,noise_injection_text,0.1,probe,mlp,0.0,regression
yelp_full,noise_injection_text,0.1,probe,knn,0.3043,regression
yelp_full,noise_injection_text,0.25,probe,ridge,0.0,regression
yelp_full,noise_injection_text,0.25,probe,random_forest,0.0328,regression
yelp_full,noise_injection_text,0.25,probe,mlp,0.0,regression
yelp_full,noise_injection_text,0.25,probe,knn,0.0,regression
yelp_full,noise_injection_text,0.5,probe,ridge,0.0,regression
yelp_full,noise_injection_text,0.5,probe,random_forest,0.0,regression
yelp_full,noise_injection_text,0.5,probe,mlp,0.0,regression
yelp_full,noise_injection_text,0.5,probe,knn,0.0051,regression
yelp_full,noise_injection_text,0.75,probe,ridge,0.0,regression
yelp_full,noise_injection_text,0.75,probe,random_forest,0.0,regression
yelp_full,noise_injection_text,0.75,probe,mlp,0.0,regression
yelp_full,noise_injection_text,0.75,probe,knn,0.0,regression
yelp_full,noise_injection_text,0.9,probe,ridge,0.0,regression
yelp_full,noise_injection_text,0.9,probe,random_forest,0.0,regression
yelp_full,noise_injection_text,0.9,probe,mlp,0.0,regression
yelp_full,noise_injection_text,0.9,probe,knn,0.0,regression
yelp_full,word_shuffle,0.1,probe,ridge,0.0,regression
yelp_full,word_shuffle,0.1,probe,random_forest,0.52,regression
yelp_full,word_shuffle,0.1,probe,mlp,0.3081,regression
yelp_full,word_shuffle,0.1,probe,knn,0.4043,regression
yelp_full,word_shuffle,0.25,probe,ridge,0.0,regression
yelp_full,word_shuffle,0.25,probe,random_forest,0.3815,regression
yelp_full,word_shuffle,0.25,probe,mlp,0.0,regression
yelp_full,word_shuffle,0.25,probe,knn,0.1825,regression
yelp_full,word_shuffle,0.5,probe,ridge,0.0,regression
yelp_full,word_shuffle,0.5,probe,random_forest,0.2798,regression
yelp_full,word_shuffle,0.5,probe,mlp,0.0,regression
yelp_full,word_shuffle,0.5,probe,knn,0.1467,regression
yelp_full,word_shuffle,0.75,probe,ridge,0.0,regression
yelp_full,word_shuffle,0.75,probe,random_forest,0.2612,regression
yelp_full,word_shuffle,0.75,probe,mlp,0.0,regression
yelp_full,word_shuffle,0.75,probe,knn,0.0795,regression
yelp_full,word_shuffle,0.9,probe,ridge,0.0,regression
yelp_full,word_shuffle,0.9,probe,random_forest,0.2935,regression
yelp_full,word_shuffle,0.9,probe,mlp,0.0,regression
yelp_full,word_shuffle,0.9,probe,knn,0.125,regression
yelp_full,target_distribution_skew,0.1,probe,ridge,0.0,regression
yelp_full,target_distribution_skew,0.1,probe,random_forest,0.5767,regression
yelp_full,target_distribution_skew,0.1,probe,mlp,0.4201,regression
yelp_full,target_distribution_skew,0.1,probe,knn,0.5176,regression
yelp_full,target_distribution_skew,0.25,probe,ridge,0.0,regression
yelp_full,target_distribution_skew,0.25,probe,random_forest,0.5737,regression
yelp_full,target_distribution_skew,0.25,probe,mlp,0.401,regression
yelp_full,target_distribution_skew,0.25,probe,knn,0.5171,regression
yelp_full,target_distribution_skew,0.5,probe,ridge,0.0,regression
