dataset,polluter,level,method,model,score,task,dsc_score
imdb,label_swap,0.1,probe,logreg,0.704,classification,78.99666666666667
imdb,label_swap,0.1,probe,random_forest,0.7717,classification,78.99666666666667
imdb,label_swap,0.1,probe,mlp,0.7839,classification,78.99666666666667
imdb,label_swap,0.1,probe,knn,0.6108,classification,78.99666666666667
imdb,label_swap,0.25,probe,logreg,0.6312,classification,76.96333333333332
imdb,label_swap,0.25,probe,random_forest,0.724,classification,76.96333333333332
imdb,label_swap,0.25,probe,mlp,0.6715,classification,76.96333333333332
imdb,label_swap,0.25,probe,knn,0.6115,classification,76.96333333333332
imdb,label_swap,0.5,probe,logreg,0.484,classification,76.21333333333332
imdb,label_swap,0.5,probe,random_forest,0.4977,classification,76.21333333333332
imdb,label_swap,0.5,probe,mlp,0.516,classification,76.21333333333332
imdb,label_swap,0.5,probe,knn,0.4481,classification,76.21333333333332
imdb,label_swap,0.75,probe,logreg,0.3826,classification,77.94666666666667
imdb,label_swap,0.75,probe,random_forest,0.32,classification,77.94666666666667
imdb,label_swap,0.75,probe,mlp,0.292,classification,77.94666666666667
imdb,label_swap,0.75,probe,knn,0.3837,classification,77.94666666666667
imdb,label_swap,0.9,probe,logreg,0.2754,classification,79.41666666666667
imdb,label_swap,0.9,probe,random_forest,0.2277,classification,79.41666666666667
imdb,label_swap,0.9,probe,mlp,0.18,classification,79.41666666666667
imdb,label_swap,0.9,probe,knn,0.2802,classification,79.41666666666667
20news,completeness_text,0.1,probe,logreg,0.4683,classification,74.77333333333333
20news,completeness_text,0.1,probe,random_forest,0.4189,classification,74.77333333333333
20news,completeness_text,0.1,probe,mlp,0.4956,classification,74.77333333333333
20news,completeness_text,0.1,probe,knn,0.4027,classification,74.77333333333333
20news,completeness_text,0.25,probe,logreg,0.4186,classification,72.88000000000001
20news,completeness_text,0.25,probe,random_forest,0.3244,classification,72.88000000000001
20news,completeness_text,0.25,probe,mlp,0.4602,classification,72.88000000000001
20news,completeness_text,0.25,probe,knn,0.3783,classification,72.88000000000001
20news,completeness_text,0.5,probe,logreg,0.2577,classification,68.34666666666666
